  PERMNO        date             ba        vwretd        ewretd        sprtrn
   19561    19840629       0.121795      0.023385      0.011996      0.017469
   19561    19840731       0.071429     -0.020621     -0.050303     -0.016451
   19561    19840831       0.148800      0.112689      0.088817      0.106332
   19561    19840928       0.007009      0.000404     -0.000377     -0.003480
   19561    19841031       0.071926     -0.000074     -0.023756     -0.000060
   19561    19841130      -0.058874     -0.010685     -0.031506     -0.015112
   19561    19841231       0.048611      0.023656      0.002732      0.022374
   19561    19850131       0.101545      0.085718      0.121475      0.074085
   19561    19850228       0.055711      0.016896      0.046034      0.008685
   19561    19850329      -0.045802     -0.001747     -0.003581     -0.002925
   19561    19850430      -0.034000     -0.002186     -0.009652     -0.004594
   19561    19850531       0.108157      0.055775      0.022221      0.054051
   19561    19850628       0.009398      0.017091      0.002103      0.012134
   19561    19850731       0.078212     -0.000251      0.021382     -0.004848
   19561    19850830       0.003005     -0.004795     -0.002214     -0.011995
   19561    19850930      -0.057143     -0.039825     -0.056859     -0.034724
   19561    19851031       0.011019      0.044441      0.017652      0.042509
   19561    19851129       0.076730      0.069228      0.052563      0.065062
   19561    19851231       0.063613      0.043061      0.028021      0.045061
   19561    19860131      -0.076555      0.009829      0.044071      0.002367
   19561    19860228       0.112435      0.072500      0.060381      0.071489
   19561    19860331       0.067916      0.053885      0.047192      0.052794
   19561    19860430      -0.013158     -0.007900      0.016144     -0.014148
   19561    19860530       0.040889      0.050844      0.036194      0.050229
   19561    19860630       0.081545      0.014246      0.008087      0.014110
   19561    19860731      -0.061508     -0.059700     -0.073128     -0.058683
   19561    19860829       0.021987      0.066181      0.023269      0.071193
   19561    19860930      -0.112266     -0.079021     -0.059071     -0.085439
   19561    19861031      -0.009368      0.049303      0.023777      0.054729
   19561    19861128      -0.029787      0.015093     -0.006263      0.021477
   19561    19861231       0.002451     -0.026388     -0.034609     -0.028288
   19561    19870130      -0.017115      0.128496      0.117565      0.131767
   19561    19870227       0.086567      0.047918      0.074612      0.036924
   19561    19870331      -0.043779      0.023664      0.036283      0.026390
   19561    19870430      -0.142169     -0.017001     -0.017709     -0.011450
   19561    19870529       0.024719      0.005125      0.000573      0.006034
