  PERMNO        date            ge         vwretd        ewretd        sprtrn
   12060    20080131      -0.046129     -0.062151     -0.045082     -0.061163
   12060    20080229      -0.054016     -0.021653     -0.021401     -0.034761
   12060    20080331       0.116777     -0.010420     -0.025310     -0.005960
   12060    20080430      -0.116455      0.051106      0.031907      0.047547
   12060    20080530      -0.060551      0.023842      0.031775      0.010674
   12060    20080630      -0.121094     -0.078434     -0.086626     -0.085962
   12060    20080731       0.059948     -0.013330     -0.001296     -0.009859
   12060    20080829      -0.006716      0.010564      0.013023      0.012191
   12060    20080930      -0.081495     -0.098005     -0.120105     -0.090791
   12060    20081031      -0.234902     -0.184603     -0.205222     -0.169425
   12060    20081128      -0.119939     -0.084615     -0.130320     -0.074849
   12060    20081231      -0.038439      0.022149      0.042157      0.007822
   12060    20090130      -0.251235     -0.077330     -0.024042     -0.085657
   12060    20090227      -0.272877     -0.100214     -0.107667     -0.109931
   12060    20090331       0.188014      0.086692      0.107441      0.085405
   12060    20090430       0.251236      0.109359      0.192761      0.093925
   12060    20090529       0.065613      0.067789      0.102330      0.053081
   12060    20090630      -0.123145     -0.003098      0.023917      0.000196
   12060    20090731       0.143345      0.081719      0.085217      0.074142
   12060    20090831       0.037313      0.031459      0.056864      0.033560
   12060    20090930       0.188489      0.045222      0.071237      0.035723
   12060    20091030      -0.131547     -0.027993     -0.050612     -0.019762
   12060    20091130       0.123422      0.057098      0.028444      0.057364
   12060    20091231      -0.049313      0.028419      0.054978      0.017771
   12060    20100129       0.062789     -0.037096     -0.011388     -0.036974
   12060    20100226       0.004975      0.034775      0.033603      0.028514
   12060    20100331       0.133250      0.063605      0.069271      0.058796
   12060    20100430       0.036264      0.020043      0.057837      0.014759
   12060    20100528      -0.133086     -0.079137     -0.076968     -0.081976
   12060    20100630      -0.111927     -0.050717     -0.056666     -0.053882
   12060    20100730       0.117892      0.070293      0.059958      0.068778
   12060    20100831      -0.101737     -0.042813     -0.047592     -0.047449
   12060    20100930       0.130525      0.091517      0.096368      0.087551
   12060    20101029      -0.014154      0.038531      0.040681      0.036856
   12060    20101130      -0.011860      0.005107      0.010661     -0.002290
   12060    20101231       0.164245      0.067150      0.068774      0.065300
   12060    20110131       0.101148      0.019157      0.014412      0.022646
   12060    20110228       0.045680      0.038164      0.037036      0.031957
   12060    20110331      -0.041587      0.003366      0.008605     -0.001047
   12060    20110429       0.019950      0.028688      0.019203      0.028495
   12060    20110531      -0.039609     -0.014935     -0.018550     -0.013501
   12060    20110630      -0.032077     -0.018395     -0.024106     -0.018258
   12060    20110729      -0.050371     -0.022469     -0.021813     -0.021474
   12060    20110831      -0.089336     -0.057472     -0.075715     -0.056791
   12060    20110930      -0.057633     -0.084873     -0.100921     -0.071762
   12060    20111031       0.097897      0.113982      0.107697      0.107723
   12060    20111130      -0.047875     -0.006226     -0.020645     -0.005059
   12060    20111230       0.136392      0.003702     -0.003561      0.008533
   12060    20120131       0.044668      0.054077      0.085342      0.043583
   12060    20120229       0.027258      0.041186      0.036494      0.040589
   12060    20120330       0.053543      0.023992      0.017582      0.031332
   12060    20120430      -0.024415     -0.006801     -0.009106     -0.007497
   12060    20120531      -0.025026     -0.065531     -0.068438     -0.062651
   12060    20120629       0.100576      0.038156      0.034177      0.039555
   12060    20120731      -0.004319      0.010266     -0.003281      0.012598
   12060    20120831      -0.001928      0.026265      0.024820      0.019763
   12060    20120928       0.104780      0.026539      0.034924      0.024236
   12060    20121031      -0.072655     -0.014101     -0.013487     -0.019789
   12060    20121130       0.003324      0.006193      0.002790      0.002847
   12060    20121231       0.002366      0.012531      0.021872      0.007068
   12060    20130131       0.061458      0.054093      0.063509      0.050428
   12060    20130228       0.050718      0.008331      0.003500      0.011061
